service_request_id,requested_datetime,updated_datetime,status_description,status_notes,agency_responsible,service_name,service_subtype,service_details,address,street,supervisor_district,neighborhoods_sffind_boundaries,police_district,lat,long,point,source,bos_2012,:@computed_region_6qbp_sg9q,:@computed_region_qgnn_b9vv,:@computed_region_26cr_cadq,:@computed_region_ajp5_b2md,:@computed_region_rxqg_mtj9,:@computed_region_yftq_j783,:@computed_region_jx4q_fizf,:@computed_region_bh8s_q3mv,:@computed_region_p5aj_wyqh,:@computed_region_fyvs_ahh9,:@computed_region_f58d_8dbm,:@computed_region_vtsz_7cme,:@computed_region_sruu_94in,:@computed_region_6pnf_4xz7,:@computed_region_jwn9_ihcz,:@computed_region_pigm_ib2e,:@computed_region_9jxd_iqea,:@computed_region_6ezc_tdp2,:@computed_region_h4ep_8xdi,:@computed_region_2dwj_jsy4,:@computed_region_nqbw_i6c3,:@computed_region_9dfj_4gjx,:@computed_region_4isq_27mq,:@computed_region_viu7_rrfi,:@computed_region_fcz8_est8,media_url,closed_date,:@computed_region_n4xg_c4py,:@computed_region_y6ts_4iup
17598585,2023-11-27T22:33:24.000,2023-11-28T05:40:21.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"895 HAYES ST, SAN FRANCISCO, CA, 94117",HAYES ST,5,Hayes Valley,NORTHERN,37.775806761995,-122.430962864505,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.77580676', 'longitude': '-122.43096286'}",Mobile/Open311,5,22,4,11,9,11,7,6,29492,9,10,10,22,11,1,22,,,,,,,,,,,,,,
17598584,2023-11-27T22:30:00.000,2023-11-28T03:55:11.000,Open,accepted,DPW Ops Queue,Street and Sidewalk Cleaning,Medical Waste,Needles,Not associated with a specific address,,,,,0.000000000000,0.000000000000,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '0.0', 'longitude': '0.0'}",Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17598558,2023-11-27T22:07:29.000,2023-11-28T05:40:09.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"3255 BALBOA ST, SAN FRANCISCO, CA, 94121",BALBOA ST,1,Outer Richmond,RICHMOND,37.775802092269,-122.49398003023,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.77580209', 'longitude': '-122.49398003'}",Mobile/Open311,1,8,8,4,29,2,11,9,55,6,26,26,8,4,1,8,,,,,,,,,,,,,,
17598536,2023-11-27T21:44:00.000,2023-11-28T03:55:09.000,Open,accepted,DPW Ops Queue,Street and Sidewalk Cleaning,Medical Waste,Needles,Intersection of IGNACIO AVE and JAMESTOWN AVE,IGNACIO AVE,10,Candlestick Point SRA,BAYVIEW,37.714397992818,-122.388662641687,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.71439799', 'longitude': '-122.38866264'}",Mobile/Open311,10,79,2,9,1,8,10,3,58,3,1,1,79,9,1,79,,,,,,,,,,,,,,
17598530,2023-11-27T21:36:39.000,2023-11-28T05:40:00.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"1011 BATTERY ST, SAN FRANCISCO, CA, 94111",BATTERY ST,3,Northern Waterfront,CENTRAL,37.800598888949,-122.401567097345,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.80059889', 'longitude': '-122.4015671'}",Mobile/Open311,3,77,6,3,8,10,3,1,28860,1,6,6,77,3,1,77,,,,,,,,,,,,,,
17598527,2023-11-27T21:32:47.000,2023-11-28T05:49:36.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"800 ULLOA ST, SAN FRANCISCO, CA, 94127",ULLOA ST,7,West Portal,TARAVAL,37.74082313378,-122.465111450963,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.74082313', 'longitude': '-122.46511145'}",Mobile/Open311,7,46,10,8,41,4,1,5,59,8,40,40,46,8,1,46,,,,,,,,,23,,,,,
17598508,2023-11-27T21:20:12.000,2023-11-28T05:39:48.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"150 FOLSOM ST, SAN FRANCISCO, CA, 94105",FOLSOM ST,6,Financial District,SOUTHERN,37.789753154614,-122.391244011983,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.78975315', 'longitude': '-122.39124401'}",Mobile/Open311,6,30,1,10,8,9,6,2,28855,2,6,6,30,10,1,30,,3,,,,,,,,,,,,
17598492,2023-11-27T21:12:45.000,2023-11-28T05:39:42.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"1001 EDDY ST, SAN FRANCISCO, CA, 94109",EDDY ST,5,Cathedral Hill,NORTHERN,37.782376266276,-122.424352453327,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.78237627', 'longitude': '-122.42435245'}",Mobile/Open311,5,100,4,11,39,11,7,6,28852,9,41,41,100,11,2,100,,,,,,,,,,,,,1,
17598490,2023-11-27T21:11:00.000,2023-11-28T05:49:00.000,Open,,311 Service Request Queue,311 External Request,Other,Other - PGE,"1495 YOSEMITE AVE, SAN FRANCISCO, CA, 94124",YOSEMITE AVE,10,Bayview,BAYVIEW,0.000000000000,0.000000000000,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '0.0', 'longitude': '0.0'}",Phone,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17598476,2023-11-27T21:03:17.000,2023-11-28T05:39:32.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"288 WEST PORTAL AVE, SAN FRANCISCO, CA, 94127",WEST PORTAL AVE,7,West Portal,TARAVAL,37.738190739481,-122.469062860962,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.73819074', 'longitude': '-122.46906286'}",Mobile/Open311,7,46,10,8,41,4,1,5,59,8,40,40,46,8,1,46,,,,,,,,,23,,,,,
17598469,2023-11-27T21:00:00.000,2023-11-28T05:29:52.000,Open,open,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Boxed or Bagged Items,"124 LILY ST, SAN FRANCISCO, CA, 94102",LILY ST,5,Lower Haight,NORTHERN,37.774564751528,-122.422763576479,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.77456475', 'longitude': '-122.42276358'}",Mobile/Open311,5,26,4,11,9,11,7,6,28852,9,10,10,26,11,1,26,,,,,,,,,,,,,1,
17598450,2023-11-27T20:47:01.000,2023-11-28T05:39:25.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"193 KING ST, SAN FRANCISCO, CA, 94107",KING ST,6,South Beach,SOUTHERN,37.777976758996,-122.391450687801,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.77797676', 'longitude': '-122.39145069'}",Mobile/Open311,6,31,1,10,4,9,6,2,28856,2,20,20,31,10,1,31,,,,,,,,,,,,,,
17598449,2023-11-27T20:45:54.000,2023-11-28T05:39:20.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"1407 MARKET ST, SAN FRANCISCO, CA, 94103",MARKET ST,6,South of Market,TENDERLOIN,37.776298108546,-122.417487111057,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.77629811', 'longitude': '-122.41748711'}",Mobile/Open311,6,32,5,10,34,9,8,2,28853,2,34,34,32,10,2,32,,8,1,1,,1,,,14,1,,,1,
17598445,2023-11-27T20:40:06.000,2023-11-28T05:39:14.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"35 OFARRELL ST, SAN FRANCISCO, CA, 94108",OFARRELL ST,3,Downtown / Union Square,CENTRAL,37.78674659741,-122.405024646009,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.7867466', 'longitude': '-122.40502465'}",Mobile/Open311,3,19,6,3,8,10,5,10,28857,10,6,6,19,3,2,19,12,5,,,,,10,12,,,,,,
17598431,2023-11-27T20:35:24.000,2023-11-28T05:39:07.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"400 RHODE ISLAND ST, SAN FRANCISCO, CA, 94107",RHODE ISLAND ST,10,Potrero Hill,SOUTHERN,37.764561657785,-122.402648851402,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.76456166', 'longitude': '-122.40264885'}",Mobile/Open311,10,54,1,9,26,8,8,3,28856,3,29,29,54,9,1,54,,,,,,,,,,,,,,
17598419,2023-11-27T20:30:51.000,2023-11-28T05:38:59.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"174 4TH AVE, SAN FRANCISCO, CA, 94118",4TH AVE,1,Presidio Terrace,RICHMOND,37.785378559528,-122.462304225306,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.78537856', 'longitude': '-122.46230423'}",Mobile/Open311,2,4,8,6,11,1,11,9,54,6,11,11,4,6,1,4,,,,,,,,,,,,,,
17598417,2023-11-27T20:29:04.000,2023-11-28T05:38:52.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"2103 UNION ST, SAN FRANCISCO, CA, 94123",UNION ST,2,Union Street,NORTHERN,37.797208633788,-122.434042040373,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.79720863', 'longitude': '-122.43404204'}",Mobile/Open311,2,15,4,6,13,1,13,6,57,9,17,17,15,6,1,15,,,,,,,,,,,,,,
17598402,2023-11-27T20:24:06.000,2023-11-28T05:38:45.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"311 BALBOA ST, SAN FRANCISCO, CA, 94118",BALBOA ST,1,Inner Richmond,RICHMOND,37.777251735956,-122.462108941269,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.77725174', 'longitude': '-122.46210894'}",Mobile/Open311,1,5,8,4,11,2,11,9,54,6,11,11,5,4,1,5,,,,,,,,,,,,,,
17598400,2023-11-27T20:23:00.000,2023-11-28T05:39:55.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,Intersection of 24TH ST and SANCHEZ ST,24TH ST,8,Noe Valley,MISSION,37.751564,-122.429665,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.751564', 'longitude': '-122.429665'}",Web,8,84,3,5,22,5,2,7,28862,4,22,22,84,5,1,84,,12,,,,,,,,,,,,
17598391,2023-11-27T20:15:50.000,2023-11-28T00:30:46.000,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"6620 GEARY BLVD, SAN FRANCISCO, CA, 94121",GEARY BLVD,1,Outer Richmond,RICHMOND,0.000000000000,0.000000000000,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '0.0', 'longitude': '0.0'}",Web,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-11-28T00:30:46.000,,
17598387,2023-11-27T20:13:30.000,2023-11-28T05:37:46.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"3058 POLK ST, SAN FRANCISCO, CA, 94109",POLK ST,2,Aquatic Park / Ft. Mason,CENTRAL,37.805028967595,-122.423704052458,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.80502897', 'longitude': '-122.42370405'}",Mobile/Open311,2,98,6,6,32,1,5,1,28858,1,32,32,98,6,1,98,,,,,,,,,,,,,,
17598380,2023-11-27T20:08:34.000,2023-11-28T05:37:38.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"388 32ND AVE, SAN FRANCISCO, CA, 94121",32ND AVE,1,Outer Richmond,RICHMOND,37.781876273962,-122.492314019297,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.78187627', 'longitude': '-122.49231402'}",Mobile/Open311,1,8,8,4,29,2,11,9,55,6,26,26,8,4,2,8,,,,,,,,,,,,,,
17598371,2023-11-27T20:05:27.000,2023-11-28T05:37:33.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"1480 SUTTER ST, SAN FRANCISCO, CA, 94109",SUTTER ST,2,Cathedral Hill,NORTHERN,37.787210503871,-122.424779561182,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.7872105', 'longitude': '-122.42477956'}",Mobile/Open311,2,100,4,6,39,1,13,6,28858,9,41,41,100,6,1,100,,,,,,,,,,,,,,
17598364,2023-11-27T20:01:43.000,2023-11-28T05:37:26.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"15 EXCELSIOR AVE, SAN FRANCISCO, CA, 94112",EXCELSIOR AVE,11,Excelsior,INGLESIDE,37.726314195531,-122.433500317963,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.7263142', 'longitude': '-122.43350032'}",Mobile/Open311,11,90,9,1,7,6,9,4,28861,7,5,5,90,1,2,90,4,,,,,,,,,,,,,
17598361,2023-11-27T19:57:45.000,2023-11-28T05:37:20.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"2303 JACKSON ST, SAN FRANCISCO, CA, 94115",JACKSON ST,2,Pacific Heights,NORTHERN,37.792588523016,-122.433126988,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.79258852', 'longitude': '-122.43312699'}",Mobile/Open311,2,102,4,6,30,1,13,6,29490,9,27,27,102,6,1,102,,,,,,,,,,,,,,
17598353,2023-11-27T19:50:09.000,2023-11-28T05:37:06.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"20 2ND ST, SAN FRANCISCO, CA, 94105",2ND ST,6,Financial District,CENTRAL,37.788876400696,-122.401053756064,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.7888764', 'longitude': '-122.40105376'}",Mobile/Open311,6,108,6,10,8,9,12,2,28855,2,6,6,108,10,1,108,,4,,,,,,,,,,,,
17598336,2023-11-27T19:35:11.000,2023-11-28T05:36:59.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"4200 GEARY BLVD, SAN FRANCISCO, CA, 94118",GEARY BLVD,1,Inner Richmond,RICHMOND,37.7811332513,-122.464199541251,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.78113325', 'longitude': '-122.46419954'}",Mobile/Open311,1,5,8,4,11,2,11,9,54,6,11,11,5,4,1,5,,,,,,,,,,,,,,
17598333,2023-11-27T19:33:09.000,2023-11-28T05:36:54.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"675 HAYES ST, SAN FRANCISCO, CA, 94102",HAYES ST,5,Hayes Valley,NORTHERN,37.776237922159,-122.42759065714,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.77623792', 'longitude': '-122.42759066'}",Mobile/Open311,5,22,4,11,9,11,7,6,28852,9,10,10,22,11,1,22,,,,,,,,,,,,,,
17598328,2023-11-27T19:30:53.000,2023-11-28T05:36:48.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"6115 GEARY BLVD, SAN FRANCISCO, CA, 94121",GEARY BLVD,1,Outer Richmond,RICHMOND,37.779999,-122.4851239,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.779999', 'longitude': '-122.4851239'}",Mobile/Open311,1,8,8,4,29,2,11,9,55,6,26,26,8,4,1,8,,,,,,,,,,,,,,
17598326,2023-11-27T19:29:00.000,2023-11-28T05:27:25.000,Open,,SFMTA - Access/Mobility Services Received Queue,General Request - MTA,request_for_service,scooters - request_for_service,Intersection of FLOOD AVE and RIDGEWOOD AVE,FLOOD AVE,7,Westwood Park,INGLESIDE,0.000000000000,0.000000000000,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '0.0', 'longitude': '0.0'}",Phone,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17598304,2023-11-27T19:16:32.000,2023-11-28T05:36:40.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"192 BEALE ST, SAN FRANCISCO, CA, 94105",BEALE ST,6,South of Market,SOUTHERN,37.789958960601,-122.394510740409,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.78995896', 'longitude': '-122.39451074'}",Mobile/Open311,6,32,1,10,8,9,12,2,28855,2,6,6,32,10,1,32,,3,,,,,,,,,,,,
17598299,2023-11-27T19:13:34.000,2023-11-28T05:36:35.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"908 HAYES ST, SAN FRANCISCO, CA, 94117",HAYES ST,5,Alamo Square,NORTHERN,37.775872145319,-122.431443787728,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.77587215', 'longitude': '-122.43144379'}",Mobile/Open311,5,23,4,11,9,11,15,6,29492,9,10,10,23,11,1,23,,,,,,,,,,,,,,
17598296,2023-11-27T19:13:24.000,2023-11-28T05:36:29.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"4455 GEARY BLVD, SAN FRANCISCO, CA, 94118",GEARY BLVD,1,Inner Richmond,RICHMOND,37.780733762685,-122.467175787505,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.78073376', 'longitude': '-122.46717579'}",Mobile/Open311,1,5,8,4,11,2,11,9,54,6,11,11,5,4,1,5,,,,,,,,,,,,,,
17598287,2023-11-27T19:08:14.000,2023-11-28T05:36:23.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"1297 IRVING ST, SAN FRANCISCO, CA, 94122",IRVING ST,7,Inner Sunset,TARAVAL,37.763808872411,-122.4715291759,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.76380887', 'longitude': '-122.47152918'}",Mobile/Open311,5,109,10,11,14,11,1,5,56,8,12,12,109,11,1,109,,,,,,,,,,,,,,
17598253,2023-11-27T18:55:14.000,2023-11-28T05:36:18.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"91 WORCESTER AVE, SAN FRANCISCO, CA, 94132",WORCESTER AVE,7,Merced Heights,TARAVAL,37.711292,-122.4673015,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.711292', 'longitude': '-122.4673015'}",Mobile/Open311,7,65,10,8,24,4,9,5,64,8,24,24,65,8,2,65,,,,,,,,,,,,,,
17598251,2023-11-27T18:53:58.000,2023-11-28T05:36:12.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"300 FELL ST, SAN FRANCISCO, CA, 94102",FELL ST,5,Hayes Valley,NORTHERN,37.7760965,-122.4228779,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.7760965', 'longitude': '-122.4228779'}",Mobile/Open311,5,22,4,11,9,11,7,6,28852,9,10,10,22,11,1,22,,,,,,1,,,,1,,,1,
17598248,2023-11-27T18:53:21.000,2023-11-28T05:36:04.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"2015 BALBOA ST, SAN FRANCISCO, CA, 94121",BALBOA ST,1,Outer Richmond,RICHMOND,37.776422338487,-122.48037510161,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.77642234', 'longitude': '-122.4803751'}",Mobile/Open311,1,8,8,4,29,2,11,9,55,6,26,26,8,4,1,8,,,,,,,,,,,,,,
17598235,2023-11-27T18:43:52.000,2023-11-28T05:35:53.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"392 17TH AVE, SAN FRANCISCO, CA, 94121",17TH AVE,1,Inner Richmond,RICHMOND,37.780646849459,-122.475945102165,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.78064685', 'longitude': '-122.4759451'}",Mobile/Open311,1,5,8,4,29,2,11,9,54,6,26,26,5,4,1,5,,,,,,,,,,,,,,
17598219,2023-11-27T18:38:10.000,2023-11-28T05:35:28.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"3215 GEARY BLVD, SAN FRANCISCO, CA, 94118",GEARY BLVD,2,Lone Mountain,RICHMOND,37.781545599026,-122.453399878109,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.7815456', 'longitude': '-122.45339988'}",Mobile/Open311,1,12,8,4,18,2,11,9,54,6,16,16,12,4,1,12,,,,,,,,,,,,,,
17598209,2023-11-27T18:33:27.000,2023-11-28T05:35:21.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"707 HAIGHT ST, SAN FRANCISCO, CA, 94117",HAIGHT ST,5,Lower Haight,NORTHERN,37.771608231787,-122.433968365863,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.77160823', 'longitude': '-122.43396837'}",Mobile/Open311,5,26,4,11,3,11,15,8,29492,5,9,9,26,11,1,26,,,,,,,,,,,,,,
17598193,2023-11-27T18:27:00.000,2023-11-28T05:40:41.000,Open,sent,Recology_Abandoned,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,Intersection of EGBERT AVE and HAWES ST,EGBERT AVE,10,Bret Harte,BAYVIEW,0.000000000000,0.000000000000,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '0.0', 'longitude': '0.0'}",Phone,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17598104,2023-11-27T17:52:57.000,2023-11-28T00:30:46.000,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,amplified_sound_electronics,Noise Report - amplified_sound_electronics,"2030 3RD ST, SAN FRANCISCO, CA, 94107",3RD ST,10,Dogpatch,BAYVIEW,0.000000000000,0.000000000000,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '0.0', 'longitude': '0.0'}",Web,10,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-11-28T00:30:46.000,,
17598046,2023-11-27T17:27:55.000,2023-11-28T05:35:14.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"1511 HAIGHT ST, SAN FRANCISCO, CA, 94117",HAIGHT ST,5,Haight Ashbury,PARK,37.769922664762,-122.447088923313,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.76992266', 'longitude': '-122.44708892'}",Mobile/Open311,5,25,7,11,3,11,15,8,29492,5,9,9,25,11,1,25,25,,,,,,22,24,,,,,,
17598045,2023-11-27T17:27:48.000,2023-11-28T05:35:04.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,Intersection of MOULTRIE ST and CORTLAND AVE,MOULTRIE ST,9,Bernal Heights,INGLESIDE,37.738957571169,-122.415992454793,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.73895757', 'longitude': '-122.41599245'}",Mobile/Open311,9,83,9,2,2,7,2,4,28859,7,2,2,83,2,1,83,,,,,,,,,,,,,,
17598016,2023-11-27T17:19:14.000,2023-11-28T05:34:57.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"1641 LA SALLE AVE, SAN FRANCISCO, CA, 94124",LA SALLE AVE,10,Bayview,BAYVIEW,37.73695135,-122.3897614,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.73695135', 'longitude': '-122.3897614'}",Mobile/Open311,10,86,2,9,1,8,10,3,58,3,1,1,86,9,2,86,,,,,,,,,5,,,,,
17598013,2023-11-27T17:18:52.000,2023-11-28T05:34:50.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,Intersection of ALAMEDA ST and BRYANT ST,ALAMEDA ST,9,Mission,MISSION,37.768362667284,-122.410673790195,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.76836267', 'longitude': '-122.41067379'}",Mobile/Open311,10,53,3,9,20,8,8,7,28853,4,19,19,53,9,2,53,,,,,,3,,,,3,,,,
17597845,2023-11-27T16:25:21.000,2023-11-28T05:34:44.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"1300 24TH AVE, SAN FRANCISCO, CA, 94122",24TH AVE,4,Outer Sunset,TARAVAL,37.76328275,-122.4823363,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.76328275', 'longitude': '-122.4823363'}",Mobile/Open311,4,39,10,7,35,3,1,5,56,8,35,35,39,7,1,39,11,,,,,,9,11,,,,,,
17597844,2023-11-27T16:25:19.000,2023-11-28T05:34:35.000,Open,open,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,Intersection of LELAND AVE and CORA ST,LELAND AVE,10,Visitacion Valley,INGLESIDE,37.712800670946,-122.408499608071,"{'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'latitude': '37.71280067', 'longitude': '-122.40849961'}",Mobile/Open311,10,75,9,9,40,8,9,4,309,7,39,39,75,9,2,75,,,,,,,,,,,,,,
